iter	Passed	Remaining
514	1243	1170
515	1245	1167
516	1246	1164
517	1248	1161
518	1250	1158
519	1252	1155
520	1254	1152
521	1255	1150
522	1257	1146
523	1259	1143
524	1261	1140
525	1262	1137
526	1264	1134
527	1266	1131
528	1267	1128
529	1269	1126
530	1271	1123
531	1273	1120
532	1275	1117
533	1277	1114
534	1278	1111
535	1280	1108
536	1282	1105
537	1284	1103
538	1286	1100
539	1288	1097
540	1290	1094
541	1291	1091
542	1293	1088
543	1295	1085
544	1297	1082
545	1298	1080
546	1300	1077
547	1302	1074
548	1304	1071
549	1306	1068
550	1307	1065
551	1309	1062
552	1311	1059
553	1313	1057
554	1315	1054
555	1317	1051
556	1319	1049
557	1320	1046
558	1322	1043
559	1323	1040
560	1325	1037
561	1327	1034
562	1329	1032
563	1331	1029
564	1333	1026
565	1335	1023
566	1337	1021
567	1338	1018
568	1340	1015
569	1342	1012
570	1345	1010
571	1347	1008
572	1349	1005
573	1352	1003
574	1354	1001
575	1357	998
576	1359	996
577	1364	996
578	1366	993
579	1368	991
580	1371	988
581	1373	986
582	1376	984
583	1379	982
584	1382	980
585	1383	977
586	1385	974
587	1387	972
588	1390	970
589	1393	968
590	1396	966
591	1398	963
592	1400	961
593	1404	959
594	1406	957
595	1408	955
596	1411	952
597	1413	949
598	1414	947
599	1416	944
600	1418	942
601	1420	939
602	1422	936
603	1424	933
604	1426	931
605	1428	928
606	1430	925
607	1431	923
608	1434	920
609	1435	917
610	1437	915
611	1439	912
612	1441	909
613	1443	907
614	1444	904
615	1446	901
616	1448	899
617	1450	896
618	1452	893
619	1453	891
620	1455	888
621	1457	885
622	1459	883
623	1461	880
624	1463	878
625	1465	875
626	1467	873
627	1469	870
628	1471	867
629	1472	865
630	1474	862
631	1476	860
632	1479	857
633	1480	854
634	1482	852
635	1484	849
636	1486	847
637	1488	844
638	1490	841
639	1491	839
640	1493	836
641	1495	834
642	1497	831
643	1499	828
644	1500	826
645	1502	823
646	1504	820
647	1506	818
648	1508	815
649	1510	813
650	1511	810
651	1513	807
652	1515	805
653	1517	802
654	1519	800
655	1521	797
656	1523	795
657	1525	792
658	1527	790
659	1528	787
660	1530	784
661	1532	782
662	1534	779
663	1535	777
664	1537	774
665	1539	772
666	1541	769
667	1543	766
668	1544	764
669	1546	761
670	1548	759
671	1550	756
672	1552	754
673	1553	751
674	1555	749
675	1557	746
676	1559	743
677	1560	741
678	1562	738
679	1564	736
680	1566	733
681	1567	731
682	1569	728
683	1571	725
684	1573	723
685	1574	720
686	1576	718
687	1578	715
688	1580	713
689	1582	710
690	1583	708
691	1585	705
692	1587	703
693	1589	700
694	1591	698
695	1592	695
696	1594	693
697	1596	690
698	1598	688
699	1600	685
700	1601	683
701	1603	680
702	1605	678
703	1606	675
704	1608	673
705	1610	670
706	1612	668
707	1614	665
708	1616	663
709	1618	660
710	1619	658
711	1621	655
712	1623	653
713	1624	650
714	1626	648
715	1628	646
716	1630	643
717	1632	641
718	1634	638
719	1636	636
720	1637	633
721	1639	631
722	1641	628
723	1643	626
724	1645	624
725	1646	621
726	1648	619
727	1650	616
728	1652	614
729	1653	611
730	1655	609
731	1657	606
732	1659	604
733	1660	601
734	1662	599
735	1664	597
736	1666	594
737	1667	592
738	1669	589
739	1671	587
740	1673	584
741	1675	582
742	1676	580
743	1678	577
744	1680	575
745	1682	572
746	1683	570
747	1685	567
748	1687	565
749	1689	563
750	1691	560
751	1692	558
752	1694	555
753	1696	553
754	1698	551
755	1700	548
756	1702	546
757	1703	543
758	1705	541
759	1707	539
760	1708	536
761	1710	534
762	1712	531
763	1713	529
764	1715	527
765	1717	524
766	1719	522
767	1720	519
768	1722	517
769	1724	515
770	1726	512
771	1727	510
772	1729	507
773	1731	505
774	1733	503
775	1734	500
776	1736	498
777	1738	495
778	1739	493
779	1741	491
780	1743	488
781	1745	486
782	1747	484
783	1748	481
784	1750	479
785	1752	477
786	1754	474
787	1755	472
788	1757	469
789	1759	467
790	1761	465
791	1762	462
792	1764	460
793	1766	458
794	1768	456
795	1770	453
796	1772	451
797	1774	449
798	1776	446
799	1778	444
800	1780	442
801	1781	439
802	1783	437
803	1785	435
804	1786	432
805	1788	430
806	1790	428
807	1792	425
808	1794	423
809	1796	421
810	1797	419
811	1799	416
812	1801	414
813	1803	412
814	1804	409
815	1806	407
816	1808	405
817	1810	402
818	1811	400
819	1813	398
820	1815	395
821	1817	393
822	1818	391
823	1821	388
824	1822	386
825	1824	384
826	1826	382
827	1827	379
828	1829	377
829	1831	375
830	1833	372
831	1835	370
832	1838	368
833	1840	366
834	1842	364
835	1843	361
836	1846	359
837	1847	357
838	1849	354
839	1851	352
840	1853	350
841	1856	348
842	1857	346
843	1859	343
844	1861	341
845	1863	339
846	1865	336
847	1867	334
848	1870	332
849	1871	330
850	1873	328
851	1875	325
852	1877	323
853	1879	321
854	1881	319
855	1884	316
856	1886	314
857	1887	312
858	1889	310
859	1891	307
860	1893	305
861	1895	303
862	1897	301
863	1900	299
864	1901	296
865	1903	294
866	1905	292
867	1907	290
868	1908	287
869	1910	285
870	1914	283
871	1915	281
872	1917	278
873	1919	276
874	1921	274
875	1923	272
876	1925	270
877	1928	268
878	1930	265
879	1932	263
880	1934	261
881	1936	259
882	1938	256
883	1940	254
884	1942	252
885	1945	250
886	1947	248
887	1949	245
888	1952	243
889	1954	241
890	1956	239
891	1958	237
892	1960	234
893	1962	232
894	1964	230
895	1966	228
896	1970	226
897	1972	224
898	1974	221
899	1976	219
900	1979	217
901	1981	215
902	1982	213
903	1985	210
904	1987	208
905	1989	206
906	1991	204
907	1993	201
908	1995	199
909	1997	197
910	1999	195
911	2001	193
912	2003	190
913	2005	188
914	2007	186
915	2009	184
916	2011	182
917	2012	179
918	2014	177
919	2016	175
920	2018	173
921	2020	170
922	2022	168
923	2023	166
924	2025	164
925	2027	162
926	2029	159
927	2031	157
928	2033	155
929	2035	153
930	2037	151
931	2039	148
932	2041	146
933	2043	144
934	2045	142
935	2047	140
936	2049	137
937	2051	135
938	2053	133
939	2055	131
940	2057	128
941	2059	126
942	2061	124
943	2063	122
944	2065	120
945	2067	118
946	2069	115
947	2071	113
948	2073	111
949	2075	109
950	2078	107
951	2079	104
952	2081	102
953	2083	100
954	2085	98
955	2087	96
956	2088	93
957	2091	91
958	2093	89
959	2095	87
960	2097	85
961	2100	82
962	2101	80
963	2103	78
964	2105	76
965	2107	74
966	2109	71
967	2111	69
968	2113	67
969	2115	65
970	2117	63
971	2119	61
972	2121	58
973	2123	56
974	2124	54
975	2127	52
976	2133	50
977	2137	48
978	2139	45
979	2141	43
980	2144	41
981	2145	39
982	2147	37
983	2149	34
984	2151	32
985	2153	30
986	2155	28
987	2157	26
988	2160	24
989	2161	21
990	2163	19
991	2165	17
992	2168	15
993	2170	13
994	2171	10
995	2174	8
996	2176	6
997	2178	4
998	2180	2
999	2182	0
